,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1701,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            , ,1073,1308, , ,520 WEST 45TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,2064706,2017-07-13 00:00:00
1702,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            , ,1073,1311, , ,520 WEST 45TH   STREET, ,0,0,0,0, -  , -  ,0,2,R4,2316518,2017-07-12 00:00:00
1703,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            , ,1073,1312, , ,520 WEST 45TH STREET, ,10036,0,0,0, -  , -  ,0,2,R4,2225000,2017-07-24 00:00:00
1704,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            , ,1073,1315, , ,520 WEST 45TH   STREET, ,10036,0,0,0, -  , -  ,0,2,R4,2674181,2017-08-25 00:00:00
1705,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1015, ,R4,516 WEST 47TH   STREET,S1C,10036,1,0,1, -  , -  ,2003,2,R4,696049,2016-12-07 00:00:00
1706,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1024, ,R4,516 WEST 47TH   STREET,S3D,10036,1,0,1, -  , -  ,2003,2,R4,544763,2017-02-01 00:00:00
1707,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1048, ,R4,516 WEST 47TH STREET,S6G,10036,1,0,1, -  , -  ,2003,2,R4, -  ,2017-03-30 00:00:00
1708,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1067, ,R4,516 WEST 47TH   STREET,S5K,10036,1,0,1, -  , -  ,2003,2,R4,605000,2016-12-30 00:00:00
1709,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1078, ,R4,516 WEST 47TH   STREET,S4M,10036,1,0,1, -  , -  ,2003,2,R4, -  ,2017-07-13 00:00:00
1710,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1119, ,R4,516 WEST 47TH,N3F,10036,1,0,1, -  , -  ,2003,2,R4, -  ,2017-07-11 00:00:00
1711,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1135, ,R4,516 WEST 47TH   STREET,N5H,10036,1,0,1, -  , -  ,2003,2,R4,800000,2017-07-12 00:00:00
1712,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1143, ,R4,516 WEST 47TH STREET,N7J,10036,1,0,1, -  , -  ,2003,2,R4,649000,2017-03-29 00:00:00
1713,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1075,1211, ,R4,517 WEST 46TH STREET,104,10036,1,0,1, -  , -  ,2006,2,R4,1325000,2017-01-03 00:00:00
1714,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1076,1008, ,R4,505 WEST 47TH   STREET,1H-S,10036,1,0,1, -  , -  ,2008,2,R4,617000,2017-06-29 00:00:00
1715,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1076,1029, ,R4,505 WEST 47TH   STREET,4E-S,10036,1,0,1, -  , -  ,2008,2,R4,985000,2016-09-20 00:00:00
1716,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1076,1044, ,R4,505 WEST 47TH   STREET,6D-S,10036,1,0,1, -  , -  ,2008,2,R4,670000,2016-12-05 00:00:00
1717,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1076,1076, ,R4,505 WEST 47TH   STREET,3F-N,10036,1,0,1, -  , -  ,2008,2,R4,870000,2017-04-25 00:00:00
1718,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1001, ,R4,540 WEST 49TH   STREET,CY6N,10019,1,0,1, -  , -  ,2013,2,R4,10,2016-10-14 00:00:00
1719,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1003, ,R4,540 WEST 49TH   STREET,104N,10019,1,0,1, -  , -  ,2013,2,R4,1374637,2017-03-20 00:00:00
1720,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1054, ,R4,540 WEST 49TH   STREET,609N,10019,1,0,1, -  , -  ,2013,2,R4, -  ,2016-09-02 00:00:00
1721,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1057, ,R4,540 WEST 49TH   STREET,PH3N,10019,1,0,1, -  , -  ,2013,2,R4,2341975,2017-03-24 00:00:00
1722,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1058, ,R4,540 WEST 49TH   STREET,PH4N,10019,1,0,1, -  , -  ,2013,2,R4,2341975,2017-07-17 00:00:00
1723,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1061, ,R4,545 WEST 48TH   STREET,CY1S,10036,1,0,1, -  , -  ,2013,2,R4,1209936,2016-09-21 00:00:00
1724,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1069, ,R4,545 WEST 48TH   STREET,105S,10036,1,0,1, -  , -  ,2013,2,R4,753300,2017-03-08 00:00:00
1725,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1072, ,R4,540 WEST 49TH STREET,201S,10036,1,0,1, -  , -  ,2013,2,R4,1780000,2017-07-25 00:00:00
1726,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1105, ,R4,545 WEST 48TH STREET,604S,10036,1,0,1, -  , -  ,2013,2,R4,1135000,2017-06-19 00:00:00
1727,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1111, ,R4,545 WEST 48TH   STREET,PH3S,10036,1,0,1, -  , -  ,2013,2,R4,2189237,2017-05-01 00:00:00
1728,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1077,1113, ,R4,545 WEST 48TH STREET,PH7S,10036,1,0,1, -  , -  ,2013,2,R4, -  ,2017-05-08 00:00:00
1729,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1020, ,R4,635 WEST 42ND   STREET,19A,10036,1,0,1, -  , -  ,2005,2,R4,1250000,2017-02-15 00:00:00
1730,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1023, ,R4,635 WEST 42ND STREET,22A,10036,1,0,1, -  , -  ,2005,2,R4,1237500,2016-11-18 00:00:00
1731,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1027, ,R4,635 WEST 42ND STREET,26A,10036,1,0,1, -  , -  ,2005,2,R4,1500000,2017-07-12 00:00:00
1732,1,CLINTON,13 CONDOS - ELEVATOR APARTMENTS            ,2,1090,1048, ,R4,635 WEST 42ND   STREET,3B,10036,1,0,1, -  , -  ,2005,2,R4,680000,2017-07-26 00:00:00
